|2002_naics|2002_naics_title|sic|sic_title_and_note
271|311511.0|Fluid Milk Manufacturing|2026.0|Fluid Milk (except ultra-high temperature)
272|311512.0|Creamery Butter Manufacturing|2021.0|Creamery Butter
273|311513.0|Cheese Manufacturing|2022.0|Natural, Processed, and Imitation Cheese
274|311514.0|Dry, Condensed, and Evaporated Dairy Product Manufacturing|2023.0|Dry, Condensed and Evaporated Dairy Products (except liquid non-dairy creamer)
275|311514.0|Dry, Condensed, and Evaporated Dairy Product Manufacturing|2026.0|Fluid Milk (ultra-high temperature)
276|311520.0|Ice Cream and Frozen Dessert Manufacturing|2024.0|Ice Cream and Frozen Desserts
277|311611.0|Animal (except Poultry) Slaughtering|751.0|Livestock Services, Except Veterinary (custom slaughtering)
278|311611.0|Animal (except Poultry) Slaughtering|2011.0|Meat Packing Plants
279|311611.0|Animal (except Poultry) Slaughtering|2048.0|Prepared Feeds and Feed Ingredients for Animals and Fowls, Except Dogs and Cats (slaughtering animals for pet food)
280|311612.0|Meat Processed from Carcasses |2013.0|Sausages and Other Prepared Meat Products (except lard made from purchased materials)
281|311612.0|Meat Processed from Carcasses |5147.0|Meats and Meat Products (boxed beef)
282|311613.0|Rendering and Meat Byproduct Processing|2013.0|Sausages and Other Prepared Meat Products (lard made from purchased materials)
283|311613.0|Rendering and Meat Byproduct Processing|2077.0|Animal and Marine Fats and Oils (animal fats and oils)
284|311615.0|Poultry Processing|2015.0|Poultry Slaughtering and Processing (poultry slaughtering and processing)
285|311711.0|Seafood Canning|2077.0|Animal and Marine Fats and Oils (canned marine fats and oils)
286|311711.0|Seafood Canning|2091.0|Canned and Cured Fish and Seafoods
287|311712.0|Fresh and Frozen Seafood Processing|2077.0|Animal and Marine Fats and Oils (fresh and frozen marine fats and oils)
288|311712.0|Fresh and Frozen Seafood Processing|2092.0|Prepared Fresh or Frozen Fish and Seafoods
289|311811.0|Retail Bakeries|5461.0|Retail Bakeries (bread, cake and related products baked and sold on premise)
290|311812.0|Commercial Bakeries|2051.0|Bread and Other Bakery Products, Except Cookies and Crackers
291|311812.0|Commercial Bakeries|2052.0|Cookies and Crackers (unleavened bread and soft pretzels)
292|311813.0|Frozen Cakes, Pies, and Other Pastries Manufacturing|2053.0|Frozen Bakery Products, Except Bread
293|311821.0|Cookie and Cracker Manufacturing|2052.0|Cookies and Crackers (except unleavened bread and pretzels)
294|311822.0|Flour Mixes and Dough Manufacturing from Purchased Flour|2045.0|Prepared Flour Mixes and Doughs
295|311823.0|Dry Pasta Manufacturing |2098.0|Macaroni, Spaghetti, Vermicelli and Noodles
296|311823.0|Dry Pasta Manufacturing |2099.0|Food Preparations, NEC (dry pasta packaged with other ingredients made in dry pasta plants)
297|311830.0|Tortilla Manufacturing |2099.0|Food Preparations, NEC (tortillas)
298|311911.0|Roasted Nuts and Peanut Butter Manufacturing|2068.0|Salted and Roasted Nuts and Seeds
299|311911.0|Roasted Nuts and Peanut Butter Manufacturing|2099.0|Food Preparations, NEC (peanut butter)
300|311919.0|Other Snack Food Manufacturing|2052.0|Cookies and Crackers (hard pretzels and snack pretzels, except soft)
301|311919.0|Other Snack Food Manufacturing|2096.0|Potato Chips, Corn Chips, and Similar Snacks
302|311920.0|Coffee and Tea Manufacturing|2043.0|Cereal Breakfast Foods (grain based coffee substitutes)
303|311920.0|Coffee and Tea Manufacturing|2087.0|Flavoring Extracts and Flavoring Syrups, NEC (coffee flavoring and syrups)
304|311920.0|Coffee and Tea Manufacturing|2095.0|Roasted Coffee
305|311920.0|Coffee and Tea Manufacturing|2099.0|Food Preparations, NEC (tea)
306|311930.0|Flavoring Syrup and Concentrate Manufacturing|2087.0|Flavoring Extracts and Flavoring Syrups, NEC  (flavoring syrups and concentrates except coffee)
307|311941.0|Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing|2035.0|Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings (sauces and salad dressings)
308|311941.0|Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing|2099.0|Food Preparations, NEC (vinegar, prepared dip)
309|311942.0|Spice and Extract Manufacturing|2082.0|Malt Beverages (malt extract)
310|311942.0|Spice and Extract Manufacturing|2087.0|Flavoring Extracts and Flavoring Syrups, NEC (flavoring extracts and natural food colorings)
311|311942.0|Spice and Extract Manufacturing|2099.0|Food Preparations, NEC (spices, dry dip mix, dry salad dressing mix, and seasoning mix)
312|311942.0|Spice and Extract Manufacturing|2899.0|Chemicals and Chemical Preparations, NEC (table salt)
313|311991.0|Perishable Prepared Food Manufacturing|2099.0|Food Preparations, NEC (perishable prepared food)
314|311999.0|All Other Miscellaneous Food Manufacturing|2015.0|Poultry Slaughtering and Processing (egg processing)
315|311999.0|All Other Miscellaneous Food Manufacturing|2032.0|Canned Specialties (canned puddings)
316|311999.0|All Other Miscellaneous Food Manufacturing|2034.0|Dried and Dehydrated Fruits, Vegetables, and Soup Mixes (soup mixes made from purchased dehydrated ingredients)
317|311999.0|All Other Miscellaneous Food Manufacturing|2087.0|Flavoring Extracts and Flavoring Syrups, NEC (powered drink mix)
318|311999.0|All Other Miscellaneous Food Manufacturing|2099.0|Food Preparations, NEC (except bouillon, marshmallow creme, spices, peanut butter, perishable prepared foods, tortillas, tea and tea extracts, dry dip mix, prepared dips, dry salad dressing mix, seasoning mix, dried potatoes, pasta, and rice mixed with other ingredients in mills or dehydrating plants, reducing maple sap to maple syrup, wool grease, and vinegar)
319|312111.0|Soft Drink Manufacturing|2086.0|Bottled and Canned Soft Drinks and Carbonated Water (except bottled water)
320|312112.0|Bottled Water Manufacturing|2086.0|Bottled and Canned Soft Drinks and Carbonated Water (bottled water)
321|312112.0|Bottled Water Manufacturing|5149.0|Groceries and Related Products, NEC (processed bottled water manufacturing) 
322|312113.0|Ice Manufacturing|2097.0|Manufactured Ice
323|312120.0|Breweries|2082.0|Malt Beverages (except malt extract)
324|312130.0|Wineries|2084.0|Wines, Brandy, and Brandy Spirits
325|312130.0|Wineries|2085.0|Distilled and Blended Liquors (apple jack)
326|312140.0|Distilleries|2085.0|Distilled and Blended Liquors (except apple jack)
327|312210.0|Tobacco Stemming and Redrying|2141.0|Tobacco Stemming and Redrying (stemming and redrying tobacco)
328|312221.0|Cigarette Manufacturing|2111.0|Cigarettes
329|312229.0|Other Tobacco Product Manufacturing|2121.0|Cigars
330|312229.0|Other Tobacco Product Manufacturing|2131.0|Chewing and Smoking Tobacco and Snuff
331|312229.0|Other Tobacco Product Manufacturing|2141.0|Tobacco Stemming and Redrying (reconstituted tobacco)
332|312229.0|Other Tobacco Product Manufacturing|7389.0|Business Services, NEC (tobacco sheeting service)
333|313111.0|Yarn Spinning Mills|2281.0|Yarn Spinning Mills
334|313111.0|Yarn Spinning Mills|2298.0|Cordage and Twine (hemp rope made in spinning mills)
335|313111.0|Yarn Spinning Mills|2299.0|Textile Goods, NEC (hemp bags made in spinning mills)
336|313111.0|Yarn Spinning Mills|2299.0|Textile Goods, NEC (spinning yarn of flax, hemp, jute, and ramie)
337|313112.0|Yarn Texturing, Throwing, and Twisting Mills|2282.0|Yarn Texturizing, Throwing, Twisting and Winding Mills 
338|313113.0|Thread Mills|2284.0|Thread Mills (except finishing thread without manufacturing thread)
339|313113.0|Thread Mills|2299.0|Textile Goods, NEC (manufacturing thread of hemp, linen, and ramie)
340|313210.0|Broadwoven Fabric Mills|2211.0|Broadwoven Fabric Mills, Cotton
341|313210.0|Broadwoven Fabric Mills|2221.0|Broadwoven Fabric Mills, Manmade Fiber and Silk
342|313210.0|Broadwoven Fabric Mills|2231.0|Broadwoven Fabric Mills, Wool (Including Dyeing and Finishing) (except finishing wool fabric without weaving wool fabric)
343|313210.0|Broadwoven Fabric Mills|2299.0|Textile Goods, NEC (broadwoven fabrics of jute, linen, hemp, and ramie and hand woven fabrics)
344|313221.0|Narrow Fabric Mills|2241.0|Narrow Fabric and Other Smallware Mills: Cotton, Wool, Silk and Manmade Fiber
345|313221.0|Narrow Fabric Mills|2299.0|Textile Goods, NEC (narrow woven fabric of jute, linen, hemp, and ramie)
346|313222.0|Schiffli Machine Embroidery|2397.0|Schiffli Machine Embroideries
347|313230.0|Nonwoven Fabric Mills|2297.0|Nonwoven Fabrics
348|313230.0|Nonwoven Fabric Mills|2299.0|Textile Goods, NEC (nonwoven felt)
349|313241.0|Weft Knit Fabric Mills|2257.0|Weft Knit Fabric Mills (except finishing without knitting weft fabric)
350|313241.0|Weft Knit Fabric Mills|2259.0|Knitting Mills, NEC (knitting weft fabric and fabricating textile products, such as bedspreads, curtains, or towels)
351|313249.0|Other Knit Fabric and Lace Mills|2258.0|Lace and Warp Knit Fabric Mills (except finishing lace or warp fabric without knitting lace or warp fabric)
352|313249.0|Other Knit Fabric and Lace Mills|2259.0|Knitting Mills, NEC (knitting lace or warp fabric and fabricating textile products, such as bedspreads, curtains, or towels)
353|313311.0|Broadwoven Fabric Finishing Mills|2231.0|Broadwoven Fabric Mills, Wool (wool broadwoven fabric finishing without weaving fabric)
354|313311.0|Broadwoven Fabric Finishing Mills|2261.0|Finishers of Broadwoven Fabrics of Cotton
355|313311.0|Broadwoven Fabric Finishing Mills|2262.0|Finishers of Broadwoven Fabrics of Manmade Fiber and Silk
356|313311.0|Broadwoven Fabric Finishing Mills|2269.0|Finishers of Textiles, NEC (linen fabric finishing)
357|313311.0|Broadwoven Fabric Finishing Mills|5131.0|Piece Goods, Notions, and Other Dry Goods (broadwoven converters)
358|313311.0|Broadwoven Fabric Finishing Mills|7389.0|Business Services, NEC (sponging, shrinking, etc. fabric for tailors and dress makers, batik work)
359|313312.0|Textile and Fabric Finishing (except Broadwoven Fabric) Mills|2231.0|Broadwoven Fabric Mills, Wool (wool fabric, except broadwoven, finishing without weaving fabric)
